project_id,project_name,sector,implementing_agency,state,original_cost,revised_cost,expenditure,expenditure_change_recent,physical_progress,progress_change_recent,original_duration_months,months_elapsed,current_delay_months,overdue_milestones,days_since_last_cuf_update,clearance_pending_days,active_litigation,reasons_for_delay
MOSPI_618099,"Rehabilitation & up-gradation for Talere  Gaganbawada - kolhapur Road NH 166G stretch start from km. 0/00 to Km. 06/00 and km. 13/00 to km 19/440 of NH-166G, length 12.440 km in the State of Maharashtra.",Roads & Highways,MoRTH,,164.0,164.0,98.68,0.0,100.0,0.0,24.9,30.1,0.0,0,15,0,False,
MOSPI_618042,"Rehabilitation/ Upgradation of existing Highway to four lane standards in Kurkheda town from km.413257 to km 410775, Two lane in Shankarpur Gurnuli km 42400 to km 43100 section and Reconstruction of Major Bridge at Ch. 448558 Bhuti Nallah and Ch. 411695 Sati River bridge, Minor Bridge at Ch. 411477 and Ch. 405800 Lendhari Bridge of NH 543 Bhamhapuri-wadsa-kurkheda-korchi-Deori-Amgaon road on EPC mode in the State of Maharashtra",Roads & Highways,MoRTH,,164.0,164.0,49.03,49.03,50.0,7.0,37.2,53.7,20.0,1,15,0,False,
MOSPI_612856,Augmentation of 1x1500 MVA 3rd  765/400 kV transformation capacity at Kurnool New Substation,Transmission & Distribution,Power Grid Corporation of India Limited [POWERGRID],,164.0,164.0,145.61,11.53,91.0,8.0,28.9,40.5,6.1,1,15,0,False,
MOSPI_617303,"City Gas Distribution Project at Khagaria, Saharsa and Madhepura",Petroleum,Ministry of Petroleum & Natural Gas,,163.0,163.0,96.07,0.53,40.0,0.0,36.0,12.0,0.0,0,15,0,False,
MOSPI_618834,4L Kodinar - Veraval Package VI from km. 222.400 to km. 230.00 Kodinar Bypass of NH-8E NH 51 new,Roads & Highways,National Highways Authority of India [NHAI],,163.0,192.01,174.82,12.82,100.0,0.0,17.7,53.5,19.3,1,15,0,False,
MOSPI_618480,Construction of Trumpet Interchange Connecting Bangalore  Chennai Expressway km.261705 to km. 262800 with Maduravoyal to Walajapet Section of NH 48 near Sriperumbudur Toll Plaza at km. 35700,Roads & Highways,NHAI,,163.0,162.56,54.98,2.51,39.0,0.0,27.7,40.4,14.3,1,15,0,False,
MOSPI_618178,Widening and strengthening of Gangakhed to Kingaon section of NH-752K in Km 38/750 to 72/304   Flexible Pavement      Length33.554 km    to 2-lane configuration on EPC mode in the State of Maharashtra.,Roads & Highways,MoRTH,,163.0,163.0,0.0,0.0,72.0,0.0,27.7,31.1,4.9,0,15,0,False,
MOSPI_702760,Belgavi Improvement in Sewerage System Project,Water Resources,Ministry of Housing & Urban Affairs,,163.0,163.0,721.71,79.5,80.0,0.0,91.5,129.0,29.0,1,15,0,False,
MOSPI_617908,Bemetara Bypass NH 30,Roads & Highways,MoRTH,,162.0,162.0,0.0,0.0,42.0,5.0,39.6,32.2,0.0,0,15,0,False,
MOSPI_618422,"Construction of 2-lane with hard shoulders of Merangkong-Tamlu-Mon road Wakching Twon portion on EPC basis from existing Chainage Km 59000 to Km 73640 [Design Km. 59000 to Km, 72450] Design length - 13.450 Km under SARDP-NE package-V  Balance work",Roads & Highways,NHIDCL,,162.0,162.0,101.28,0.07,100.0,0.0,53.3,65.5,10.7,1,15,0,False,
MOSPI_615820,TIKAK EXTENSION OCP,Coal,INVALID CO.,,160.0,160.0,112.8,0.11,90.0,0.0,108.0,50.4,0.0,0,15,0,False,
MOSPI_709752,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,Petroleum,Hindustan Petroleum Corporation Limited,,160.0,220.0,158.94,6.12,94.0,0.0,33.2,59.7,32.0,1,15,0,False,
MOSPI_618755,4L of left out existing road section from Lalgopalganj Km 161.450 to Nawabganj Km 180.200 in Prayagraj,Roads & Highways,National Highways Authority of India [NHAI],,160.0,100.74,72.44,0.17,100.0,0.0,24.6,30.2,3.0,0,15,0,False,
MOSPI_618291,"Construction of 2-lane with Paved shoulder of Kohima-Bypass Road connecting NH- 39 New NH-02, NH150New NH-02, NH7-61 New NH-29 and NH-39 New NH-02 from Design km 21.000 to km 32.268 [Design length11.268 km] in the state of Nagaland Under SARDP-NE on EPC Mode Package- 3",Roads & Highways,NHIDCL,,160.0,342.29,128.32,4.9,40.0,0.0,58.5,73.5,18.5,1,15,0,False,
MOSPI_617949,Tadipatri Bypass Km 0000 to Km 6285 of 4-Lane on NH-67 in Anantapuramu district of AP state under NHO on EPC Mode under Annual Plan 2022-23,Roads & Highways,MoRTH,,160.0,160.0,75.64,16.38,100.0,0.0,35.4,41.6,0.6,0,15,0,False,
MOSPI_946208,Amended BharatNet Program - SKM,Telecommunications,Department of Telecommunications,,160.0,160.0,0.0,0.0,0.0,0.0,70.1,37.4,0.0,0,15,0,False,
MOSPI_702699,Muzaffarpur Storm Water Drainage Phase-I Project,Water Resources,Ministry of Housing & Urban Affairs,,159.0,159.0,602.5,93.0,83.0,0.0,83.4,117.9,26.0,1,15,0,False,
MOSPI_702742,SAAP-3 Water Supply Infrastructure SAAP-3 Project,Water Resources,Ministry of Housing & Urban Affairs,,159.0,159.0,787.5,87.5,65.0,0.0,80.9,115.4,28.9,1,15,0,False,
MOSPI_611978,Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at,Railways,PCE/WR,,158.0,158.0,51.87,4.56,10.0,10.0,28.6,46.1,0.0,0,15,0,False,
MOSPI_618068,"Construction of Kaithi-Padaria Kala bypass, Patna-Tamoli bypass, Jaso bypass and Nagod bypass   total length 15.44 Km    to 2-lane with paved shoulders flexible pavement on NH-943 in the State of Madhya Pradesh on EPC Mode.",Roads & Highways,MoRTH,,158.0,158.0,36.36,36.36,63.0,3.0,43.1,54.4,14.8,1,15,0,False,
MOSPI_618154,"Rehabilitation & upgradation of Jamkhed to Sautada Section of NH548 D from km 195.375 to km 208.774, Length  13.399 Km to 2L PS /4L configuration with rigid pavement in the state of Maharashtra on EPC mode.",Roads & Highways,MoRTH,,158.0,158.0,0.0,0.0,69.0,0.0,27.8,53.8,23.5,1,15,0,False,
MOSPI_619008,Rehabilitation and Up gradation of Charthana  Jintur Section of NH 752 I Km 25100 to 47100 to 2 Lane with Paved Shoulder configuration Flexible Pavement in the state of Maharashtra on EPC mode. Reg- Resubmission of Annual Plan Estimate.,Roads & Highways,MoRTH,,158.0,158.0,0.01,0.01,51.0,0.0,28.0,17.6,0.0,0,15,0,False,
